,precision,recall,f1-score,support
NOT,0.8915167987046781,0.9988338192419826,0.9421290637985823,15435.0
Readmitted,0.05263157894736842,0.0005327650506126798,0.0010548523206751054,1877.0
micro avg,0.8905961182994455,0.8905961182994455,0.8905961182994454,17312.0
macro avg,0.47207418882602326,0.49968329214629764,0.4715919580596287,17312.0
weighted avg,0.8005632660403719,0.8905961182994455,0.8400960060961774,17312.0
samples avg,0.8905961182994455,0.8905961182994455,0.8905961182994455,17312.0
