,precision,recall,f1-score,support
NOT,0.8918809592603294,0.9996113989637305,0.9426782714918308,15440.0
Readmitted,0.14285714285714285,0.0005341880341880342,0.00106439595529537,1872.0
micro avg,0.8915780961182994,0.8915780961182994,0.8915780961182994,17312.0
macro avg,0.5173690510587361,0.5000727934989593,0.4718713337235631,17312.0
weighted avg,0.8108867018488942,0.8915780961182994,0.8408586564846454,17312.0
samples avg,0.8915780961182994,0.8915780961182994,0.8915780961182994,17312.0
