,precision,recall,f1-score,support
NOT,0.8924743916158446,0.9751568868473831,0.9319854077783961,15457.0
Readmitted,0.09219858156028368,0.021024258760107817,0.03424056189640035,1855.0
micro avg,0.8729205175600739,0.8729205175600739,0.8729205175600739,17312.0
macro avg,0.49233648658806417,0.49809057280374547,0.48311298483739823,17312.0
weighted avg,0.8067239510166611,0.8729205175600739,0.8357910518916642,17312.0
samples avg,0.8729205175600739,0.8729205175600739,0.8729205175600739,17312.0
