,precision,recall,f1-score,support
NOT,0.8975815424254846,0.9873107890499195,0.9403104104042697,15525.0
Readmitted,0.16170212765957448,0.021264689423614997,0.037586547972304644,1787.0
micro avg,0.8875924214417745,0.8875924214417745,0.8875924214417745,17312.0
macro avg,0.5296418350425296,0.5042877392367673,0.48894847918828716,17312.0
weighted avg,0.8216217160514849,0.8875924214417745,0.8471283666100274,17312.0
samples avg,0.8875924214417745,0.8875924214417745,0.8875924214417745,17312.0
