,precision,recall,f1-score,support
NOT,0.8916809554780346,0.9771284177789297,0.9324512319535043,15434.0
Readmitted,0.11528822055137844,0.024494142705005325,0.0404040404040404,1878.0
micro avg,0.8737869685767098,0.8737869685767098,0.8737869685767098,17312.0
macro avg,0.5034845880147065,0.5008112802419675,0.4864276361787724,17312.0
weighted avg,0.8074581299124003,0.8737869685767098,0.8356822494136538,17312.0
samples avg,0.8737869685767098,0.8737869685767098,0.8737869685767098,17312.0
