,precision,recall,f1-score,support
NOT,0.8938728323699422,0.9992891760904685,0.9436460717009916,15475.0
Readmitted,0.08333333333333333,0.0005443658138268917,0.001081665765278529,1837.0
micro avg,0.8933109981515711,0.8933109981515711,0.8933109981515711,17312.0
macro avg,0.4886030828516378,0.4999167709521477,0.4723638687331351,17312.0
weighted avg,0.8078653774409768,0.8933109981515711,0.8436292733123649,17312.0
samples avg,0.8933109981515711,0.8933109981515711,0.8933109981515711,17312.0
