,precision,recall,f1-score,support
NOT,0.8912829992490324,0.9999351911860013,0.9424880119727559,15430.0
Readmitted,0.0,0.0,0.0,1882.0
micro avg,0.891231515711645,0.891231515711645,0.891231515711645,17312.0
macro avg,0.4456414996245162,0.49996759559300064,0.47124400598637795,17312.0
weighted avg,0.7943909818861234,0.891231515711645,0.8400294607636104,17312.0
samples avg,0.891231515711645,0.891231515711645,0.891231515711645,17312.0
