,precision,recall,f1-score,support
NOT,0.8903182125930941,0.9386761842959117,0.9138579145212749,15410.0
Readmitted,0.11267605633802817,0.06309148264984227,0.08088978766430736,1902.0
micro avg,0.8424792051756007,0.8424792051756007,0.8424792051756007,17312.0
macro avg,0.5014971344655611,0.500883833472877,0.4973738510927911,17312.0
weighted avg,0.8048817880784721,0.8424792051756007,0.8223430475341011,17312.0
samples avg,0.8424792051756007,0.8424792051756007,0.8424792051756007,17312.0
