,precision,recall,f1-score,support
NOT,0.8890365064695009,1.0,0.9412592116931169,15391.0
Readmitted,0.0,0.0,0.0,1921.0
micro avg,0.8890365064695009,0.8890365064695009,0.8890365064695009,17312.0
macro avg,0.44451825323475047,0.5,0.47062960584655844,17312.0
weighted avg,0.790385909835495,0.8890365064695009,0.8368138012458851,17312.0
samples avg,0.8890365064695009,0.8890365064695009,0.8890365064695009,17312.0
